# old_lib_rs_range	destination	append_area
1-26	module_declarations_accounts_and_attachments.rs	accounts-access-attachments
27-65	module_declarations_automation_and_burn.rs	ai-automation-browser-burn
66-103	module_declarations_carrier_cloud_and_control.rs	carrier-cloud-controls-diagnostics
104-145	module_declarations_messaging_and_hosted.rs	messaging-hosted-mail-places
146-190	module_declarations_native_and_osl.rs	native-adapters-osl-workspace
191-246	module_declarations_protected_and_scrub.rs	protected-download-deletion-scrub
247-280	module_declarations_services_and_surfaces.rs	services-web-surfaces-carriers
281-289	lib.rs	private-crate-root-plumbing
290-342	module_declarations_runtime_and_identity.rs	runtime-identity-chat-realtime
343-407	module_declarations_lifecycle_and_security.rs	lifecycle-command-security-incoming-mail
408-418	module_declarations_bootstrap.rs	shared-bootstrap
419-447	lib.rs	crate-wide-test-lock
