# commit	module	destination
c1835cd07487f29ba67679c8c0cb58cd86c8c8fe	account_burn_selection	module_declarations_accounts_and_attachments.rs
08552e5d05fd25e181f41ad6bc7740c8d5b6764d	attachment_formats	module_declarations_accounts_and_attachments.rs
a383a5d4b5693106c364416c2374c92544ce751f	automod_filter_bundle	module_declarations_automation_and_burn.rs
73c91e3bc0a4eaa69dfd2a241010a1910adacd10	coach_tips	module_declarations_carrier_cloud_and_control.rs
bb9618bec0dbcd3c61d7477442dc1f0b4baf70a7	enclave_key_lifecycle	module_declarations_messaging_and_hosted.rs
3743d43acf978e5691dc38f09796017c39f2d311	timed_delete_sweep_job	module_declarations_lifecycle_and_security.rs
4b3013c820c94fea552bb2b9a4d107101cf02cbb	timed_delete_closed_recovery	module_declarations_lifecycle_and_security.rs
13f61b83a4810719f16ddd78ab2a7f61f08d4d48	email_timer_contract	module_declarations_carrier_cloud_and_control.rs
634e6f9e90498dff0a614d326243d55290f501da	task_3319_discord_delete_retry	module_declarations_native_and_osl.rs
12fae2e0e0a987ffff052c2a57cadd1f2078dbe7	server_records	module_declarations_services_and_surfaces.rs
db3016906621d4fd5e4525f099bf4a5833251042	place_membership_invites	module_declarations_messaging_and_hosted.rs
0d177d2e2d95d99145632ade5534ce266a31d797	protected_archive	module_declarations_protected_and_scrub.rs
2e73b8a2cb7ead778c479a3fb12f7d58b39b2087	story_privacy_surface	module_declarations_lifecycle_and_security.rs
2ede42e3c7c7c086df90a8258b5af1c47481518d	device_transfer	module_declarations_runtime_and_identity.rs
5945fb5c701c63316749da11e361673d692306e1	shipping_receive	module_declarations_services_and_surfaces.rs
